Комментарий;НА ПЕРЕВОД;RU: русский;EN: английский;PL: польский;KZ: казахский (коррект);DE: немецкий;FR: французский;ES: испанский;IT: итальянский;BY: белорусский;UA: украинский;NL: голландский/нидерландский;KG: киргизский;UZ: узбекский;Армянский
;хлопчатобумажные нитки мулине Gamma на держателе;хлопчатобумажные нитки мулине Gamma на держателе;Gamma stranded cotton threads on a loaded organizer;bawe?niane nici mulinowe Gamma na uchwycie;?ста?ышта?ы ма?та-мата жіптер мулине Gamma;baumwollen Moulinegarn Gamma auf dem Halter;fils de coton moulin? Gamma sur un porteur;hilos moulin? de algod?n Gamma en el soporte;fili moulin? di cotone Gamma sul supporto;баваўняныя ніткі мулінэ Gamma на трымальніку;бабовняні нитки муліне на тримачі Gamma;;кармагычтагы пахта жиптер мулине Gamma;ushlagichdagi paxta iplar muline Gamma ;
;хлопчатобумажные нитки мулине Gamma;хлопчатобумажные нитки мулине Gamma;Gamma stranded cotton threads;bawe?niane nici mulinowe Gamma;ма?та-мата жіптер мулине Gamma;baumwollen Moulinegarn Gamma;fils de coton moulin? Gamma;hilos moulin? de algod?n Gamma;fili moulin? di cotone Gamma;баваўняныя ніткі мулінэ Gamma;бабовняні нитки муліне Gamma;;пахта жиптер мулине Gamma;paxta iplar muline Gamma;
;вискозные нитки мулине Gamma;вискозные нитки мулине Gamma;Gamma viscose threads;wiskozowy nici mulinowe Gamma;вискоза жіптер мулине Gamma;viscose Moulinegarn Gamma;fils de viscose moulin? Gamma;hilos moulin? de viscosa Gamma;fili moulin? di viscosa Gamma;віскозныя ніткі мулінэ Gamma;віскозні нитки Gamma;;вискоза жиптер мулине Gamma;viscoza iplar muline Gamma;
;вискозные нитки мулине Gamma на держателе ;вискозные нитки мулине Gamma на держателе ;Gamma viscose threads on a loaded organiser;wiskozowy nici mulinowe Gamma na uchwycie;?ста?ышта?ы вискоза жіптер мулине Gamma;viscose Moulinegarn Gamma auf dem Halter;fils de viscose moulin? Gamma sur un porteur;hilos moulin? de viscosa Gamma en el soporte;fili moulin? di viscosa Gamma sul supporto;віскозныя ніткі мулінэ Gamma на трымальніку;віскозні нитки муліне на тримачі Gamma;;кармагычтагы вискоза жиптер мулине Gamma;ushlagichdagi viscoza iplar muline Gamma;
;хлопчатобумажные и вискозные нитки мулине Gamma на держателе;хлопчатобумажные и вискозные нитки мулине Gamma на держателе;Gamma stranded cotton and viscose threads on a loaded organizer;bawe?niane i wiskozowy  nici mulinowe Gamma na uchwycie;?ста?ышта?ы ма?та-мата ж?не вискоза жіптер мулине Gamma;baumwollen und viscose Moulinegarn Gamma auf dem Halter;fils de coton et fils de viscose moulin? Gamma sur un porteur;hilos moulin? de algod?n e viscosa Gamma en el soporte;fili moulin? di cotone e di viscosa Gamma sul supporto;баваўняныя і віскозныя ніткі мулінэ Gamma на трымальніку;бабовняні i віскозні нитки муліне на тримачі Gamma;;кармагычтагы пахта жана вискоза жиптер мулине Gamma;ushlagichdagi paxta va viscoza iplar muline Gamma;
;люминесцентные нитки Gamma;люминесцентные нитки Gamma;Gamma luminescent threads;nici fluorescencyjne Gamma;люминесцентті жіптер Gamma ;Lumineszenzf?den Gamma;fils fluorescents Gamma;hilos fluorescentes Gamma;fili luminescente Gamma;люмінесцэнтныя ніткі Gamma;люмінесцентні нитки Gamma;;люминесцентт?? жиптер Gamma;lyuminestsent iplar Gamma;
;нитки Gamma Cloud с бархатным эффектом;нитки Gamma Cloud с бархатным эффектом;Gamma Cloud threads with a velvet effect;nitki Gamma Cloud z efektem aksamitnym;бар?ыт ?сері бар жіптер Gamma Cloud;Garn mit Samteffekt Gamma Cloud;fils ? effet velours Gamma Cloud;hilos con efecto de terciopelo Gamma Cloud;filato con l’effetto di velluto Gamma Cloud;ніткі Gamma Cloud з аксамітным эфектам;нитки Gamma Cloud з оксамитовим ефектом;;баркыт натыйжасы жиптер Gamma Cloud;velvet effekti iplar Gamma Cloud;
;;нитки мулине;stranded cotton threads;nici mulinowe;жіптер мулине;Moulinegarn;fils moulin?;hilos moulin?;fili moulin?;ніткі мулінэ;нитки муліне;;жиптер мулине;iplar muline;
Бисер, бусины;;;;;;;;;;;;;;;
;бусина;бусина;bead;koralik;монша?;Perle;perle;cuenta;perlina;пацерка;намистина Gamma;;мончок;munchoq;
;бусины;бусины;beads;koraliki;монша?тар;Perlen;perles;cuentas;perline;пацеркі;намистини Gamma;;мончоктор;munchoqlar;
;деревянные бусины;деревянные бусины;wooden beads;koraliki drewniane;а?аш монша?тар;Holzperlen;perles en bois;;;драўляныя пацеркі;;;жыгач мончоктор;yog'och munchoqlar;
;полубусина;полубусина;half bead;p??busina;жарты монша?тар;Halbperlen;demi perle;;;палубусіна;;;жарым мончок;yarim munchoq;
;бисер;бисер;seed beads;pere?ki;майда монша?тар;Glasperlen;perles de rocailles;abalorios;perle;бісер;бісер;;бисер;biser;
;фосфоресцентный бисер;фосфоресцентный бисер;glow in the dark seed beads;pere?ki fluoroscencyjne;;phosphoreszierende Glasperlen;perles phosphorescentes;abalorios fosforescentes;perle di vetro fosforescenti;фасфарасцэнтныя пацеркі;фосфоресцентний бісер;;фосфордоштурулган бисер;fosforessentli biseri;
+;чешский бисер;чешский бисер;Czech seed beads;pere?ki czeskie;чех майда монша?ы;tschechische Glasperlen;perles tch?ques;abalorios de cristal checo;perle di vetro ceche;чэшскія пацеркi;бiсер Чехія;;чех бисери;Chexiya biseri;
Инструкции, выкройки, схемы;;;;;;;;;;;;;;;
;;Инструкция;Instructions;Instrukcja;Н?с?аулы?;Anleitung;Instruction;Instrucci?n;Istruzione;;;;Жасоо;Qo'llanmasi;
 Woolla;выкройка;выкройка;pattern ;wykr?j;?лгі;Zuschnittmuster;patron;patr?n;cartamodello;выкрайка;викрійка;;?лг?;naqsh;
Miadolla, Peppy;;;sewing pattern;;;;;;;;;;;;
;инструкция по выполнению работы;инструкция по выполнению работы;instructions;instrukcja wykonywania rob?tek;;Arbeitsanleitung;;instrucci?n para hacer el art?culo;istruzioni per l'esecuzione del lavoro;інструкцыя па выкананні працы;інструкція з виконання роботи;;буюмду жасоо ж?н?нд?г? колдонмо;ishlash qo'llanmasi;
;подробная инструкция по вышиванию;подробная инструкция по вышиванию;embroidery instructions;szczeg??owa instrukcja haftowania;кестелеу ж?ніндегі егжей-тегжейлі н?с?аулы?;Ausf?hrliche Stickanleitung;notice de broderie d?taill?e;instrucci?n detallada del bordado;manuale dettagliato di ricamo;падрабязная інструкцыя па вышыванні;докладна інструкція з вишивання;;сайма боюнча толук нускама ;kashta tikish bo‘yicha batafsil ko‘rsatmalar;
;цветная схема;цветная схема;colour chart;kolorowy schemat;т?рлі-т?сті схема;farbiges Schema;diagramme en couleur;esquema de color;;каляровая схема;;magnetisch kleurenschema;т?с схема;rang sxema;
;двухцветная схема;;;;;;;;;двухколерная схема;;;эки т?ст?? схема;ikki rangli sxema;
;черно-белая схема;;;;;;;;;чорна-белая схема;;;ак-кара схема;oq-qora sxema;
;черно-белая схема с цветными символами;черно-белая схема с цветными символами;Black-and-white chart with coloured symbols;;т?сті белгілері бар а?-?ара схема;schwarzwei?es Schema mit farbigen Symbolen;diagramme de noir-blanc avec des symboles de couleur;;;чорна-белая схема з каляровымі сімваламі;;;т?ст?? белгилери менен ак-кара схема;rangli belgilar bilan oq-qora sxema;?? ? ?????? ?????? ???????? ?????????
;подробная инструкция по вышиванию и цветная схема;подробная инструкция по вышиванию и цветная схема;embroidery instructions and colour chart;szczeg??owa instrukcja haftowania z kolorowym /czarno-bia?ym (dwukolorowym) schematem;кестелеу ж?ніндегі егжей-тегжейлі н?с?аулы? ж?не т?рлі-т?сті схема;Ausf?hrliche Stickanleitung und farbiges Schema;notice de broderie d?taill?e et diagramme de couleur (/noir- blanc/ bicolore);instrucci?n detallada para bordar y esquema de color;manuale dettagliato di ricamo e schema a colori;падрабязная інструкцыя па вышыванні і каляровая схема;детальна інструкція з вишивання i кольорова (ч/б, двоколірна) схема;;сайма боюнча толук нускама жана т?ст?? схема;kashta tikish bo‘yicha batafsil ko‘rsatmalar va rang sxema;
;подробная инструкция по вышиванию и черно-белая схема;подробная инструкция по вышиванию и черно-белая схема;embroidery instructions and black-and-white chart;dok?adna instrukcja haftowania i schemat czarno-bia?y;кестелеу ж?ніндегі егжей-тегжейлі н?с?аулы? ж?не а?-?ара схема;Ausf?hrliche Stickanleitung und schwarzwei?es Schema;notice de broderie d?taill?e et diagramme de noir-blanc;instrucci?n detallada para bordar y esquema en blanco y negro;manuale dettagliato di ricamo e schema in bianco e nero;падрабязная інструкцыя па вышыванні і чорна-белая схема;детальна інструкція з вишивання i ч/б схема;;сайма боюнча толук нускама жана ак-кара схема ;kashta tikish bo‘yicha batafsil ko‘rsatmalar va oq-qora sxema;
;подробная инструкция по вышиванию и черно-белая схема с цветными символами;подробная инструкция по вышиванию и черно-белая схема с цветными символами;embroidery instructions and black-and-white chart with coloured symbols;;кестелеу ж?ніндегі егжей-тегжейлі н?с?аулы? ж?не т?сті белгілері бар а?-?ара схема;Ausf?hrliche Stickanleitung und schwarzwei?es Schema mit farbigen Symbolen;notice de broderie d?taill?e et diagramme de noir-blanc avec des symboles de couleur;;;падрабязная інструкцыя па вышыванні і чорна-белая схема з каляровымі сімваламі;;;сайма боюнча толук нускама жана т?ст?? белгилери менен ак-кара схема ;kashta tikish bo‘yicha batafsil ko‘rsatmalar va rangli belgilar bilan oq-qora sxema;
;подробная инструкция по вышиванию и двухцветная схема;подробная инструкция по вышиванию и двухцветная схема;dual colour chart and embroidery instructions;dok?adna instrukcja haftowania i schemat dwukolorowy;кестелеу ж?ніндегі егжей-тегжейлі н?с?аулы? ж?не екі т?сті схема;Ausf?hrliche Stickanleitung und zweifarbiges Schema;notice de broderie d?taill?e et diagramme de bicolore;instrucci?n detallada para bordar y esquema de bicolor;manuale dettagliato di ricamo e schema a due colori;падрабязная інструкцыя па вышыванні і двухколерная схема;детальна інструкція з вишивання i кольорова двоколірна схема;;сайма боюнча толук нускама жана эки т?ст?? схема;kashta tikish bo‘yicha batafsil ko‘rsatmalar va ikki rangli sxema;
;подробная инструкция по вышиванию с цветными фотографиями;подробная инструкция по вышиванию с цветными фотографиями;embroidery instructions with colour illustrations;szczeg??owa instrukcja haftowania z kolorowymi fotografiami;т?рлі-т?сті суретпен кестелеу ж?ніндегі егжей-тегжейлі н?с?аулы?;Ausf?hrliche Stickanleitung mit Farbfotos;notice de broderie d?taill?e avec photos en couleur;instrucci?n detallada para bordar con fotos de color;manuale dettagliato di ricamo con foto a colori;падрабязная інструкцыя па вышыванні з каляровымі фатаграфіямі;докладна інструкція з вишивання з кольоровими фотографіями;;сайма саюу ж?н?нд?г? ??д?? с?р?тт?р? бар толук колдонмосу;rangli fotosuratlar bilan kashta bo‘yicha batafsil ko‘rsatmalar;
;подробная инструкция с картинками ;подробная инструкция с картинками;illustrated instructions;szczeg??owa instrukcja z obrazkami;суреттері бар егжей-тегжейлі н?с?аулы?;Ausf?hrliche Anleitung mit Bildern;notice d?taill?e avec des images;instrucciones detalladas con dibujos;istruzione dettagliata con immagini;падрабязная інструкцыя з малюнкамі;докладна інструкція з картинками;;с?р?тт?р? менен толук нускама;rasmlar bilan batafsil ko‘rsatmalar;
;схема;схема;chart;schemat;схема;Schema;sch?ma;esquema;schema;схема;схема;;схема;sxema;
;схема алфавита;схема алфавита;alphabet chart;schemat alfabetyczny;?ліпби схема;Alphabet-Schema;sch?ma de l'alphabet;esquema del alfabeto;schema dell’alfabeto;схема алфавіту;схема алфавіту;;;;
;;текст молитвы, тропарь;не указываем;не указываем;не указываем;не указываем;не указываем;не указываем;не указываем;не указываем;не указываем;;;;
;;;;;;;;;;;;;;;
;;текст молитвы, тропарь;не указываем;не указываем;не указываем;не указываем;не указываем;не указываем;не указываем;не указываем;не указываем;;;;
Описание набора;;;;;;;;;;;;;;;
;В набор входит:;В набор входит:;The kit contains:;W sk?ad zestawu wchodz?:;Жина??а мыналар кіреді:;Die Kit schlie?t Folgendes ein:;Le kit comprend:;El kit incluye:;Il kit contiene:;У набор уваходзіць:;До набору входить:;;Топтомдо камтылган;To‘plamga quyidagilar kiradi;
;Состав набора;;Kit composition;Sk?ad zestawu;Жина?ты? ??рамы;Zusammensetzung des Kits;Composition du kit;Composici?n del kit;Composizione del kit;Cклад набору;;;Топтомдун курамы;To‘plamning tarkibi;
;Набор в технике Шерстяная Акварель ;Набор в технике Шерстяная Акварель;Painting with wool kit;Zestaw w technice We?niana Akwarela;Ж?н Акварель техникасында?ы жина?;Wollaquarell-Kit ;Kit ? ouvrage en technique Aquarelle en laine;Kit con t?cnica de Acuarela de Lana;Kit Acquerello di lana;Набор тэхнікай Ваўняная Акварэль;Набір у техніці Вовняна Акварель;;;;
;Набор для валяния;Набор для валяния;Needle felting kit;Zestaw do filcowania;;Kit f?r Filzen;Kit ? feutrer;Kit para batanaduras;Kit per saldatura;Набор для валяння;Набір для валяння;;Кийиз топтом;Kigiz to'plam;
;;Набор для рукоделия;Craft kit;Zestaw do rob?tek r?cznych;?ол?нерге арнал?ан жиынты?;;;;;Набор для рукадзелля;;;;;
;Набор для рукоделия в технике пэчворк;Набор для рукоделия в технике пэчворк;Patchwork kit;Zestaw do haftowania w technice patchwork;Пэчворк техникасында?ы ?ол?нерге арнал?ан жина?;Patchwork-Kit ;Kit ? ouvrage en technique de patchwork;Kit para costuras con t?cnica de patchwork;Kit per il patchwork;Набор для самаробкі тэхнікай пэчварк;Набір для рукоділля в техніці печворк;;;;
;Набор для творчества. Аппликация в стиле пэчворк;Набор для творчества. Аппликация в стиле пэчворк;Patchwork applique kit;Zestaw dla tw?rczo?ci. Aplikacja w stylu patchwork;Пэчворк стиліндегі шы?армашылы??а арнал?ан жина?;Kreativkit. Patchwork-Applikation;Kit cr?ation. Application dans le style de patchwork;Kit para creatividad. Aplicaci?n en estilo patchwork;Kit per lavoretti creativi Applicazione in stile patchwork;Набор для творчасці. Аплікацыя ў стылі пэчварк;Набір для творчості. Аплікація в стилі печворк;;;;
;;Набор для шитья из фетра;Felt sewing kit;;;;kit de couture feutrine;;;Набор для шыцця з фетру;;;;;
;Набор для шитья;Набор для шитья;Sewing kit;Zestaw do szycia;Тігуге арнал?ан жина?;N?hkit ;Kit de couture;Kit para coser;Kit da cucito;Набор для швіва;Набір для шиття;;Тиг?? ?ч?н топтом;Tikuv to‘plami;
;Набор для вышивания бисером;Набор для вышивания бисером;Seed bead embroidery kit;Zestaw do haftowania koralikami;Майда монша?пен кестелеуге арнал?ан жина?;Kit  f?r Glasperlen-Stickerei;Kit de broderie perl?e;Kit de bordado con abalorios;Kit per ricamo con perle di vetro;Набор для вышывання пацеркамі;Набір для вишивання бісером;;Бисер менен сайма ?ч?н топтом;Biser kashta tikish uchun to‘plam;
;Набор для вышивания в технике блэкворк;Набор для вышивания в технике блэкворк;Blackwork embroidery kit;Zestaw do haftowania w technice blackwork;Блэкворк техникасында кестелеуге арнал?ан жина?;Schwarzstickerei (Blackwork);Blackwork;Blackwork;Kit per ricamo in stile blackwork;Набор для вышывання тэхнікай блэкварк;Набір для вишивання у техніці блекворк;;Блэкворк техникасында сайма ?ч?н топтом;;
;Набор для вышивания в ковровой технике;Набор для вышивания в ковровой технике;Latch hook kit;Zestaw do haftowania w technice dywanowej;Кілем техникасында кестелеуге арнал?ан жина?;Kit  f?r Teppichkn?pfen-Stickerei;Kit de broderie style tapisserie;Kit de bordado ruso;Kit per latch hook;Набор для вышывання дывановай тэхнікай;Набір для вишивання в килимовій техніці;;Килем техникасында сайма ?ч?н топтом;Gilam texnikasida kashta tikish uchun to‘plam;
;Набор для вышивания гладью;Набор для вышивания гладью;Satin stitch kit;Zestaw do haftowania na g?adko;Тегіс кестелеуге арнал?ан жина?;Kit f?r Plattstich-Stickerei;Kit de broderie au point pass? plat;Kit de bordado con punto satinado;Kit per ricamo a punto piatto;Набор для вышывання роўняддзю;Набір для вишивання в техніці художньою гладдю;;Гладь т?р?нд? сайма ?ч?н топтом;Satin stitch kashta tikish uchun to'plam;
;Набор для вышивания крестом;Набор для вышивания крестом;Cross-stitch kit;Zestaw do haftowania krzy?ykiem;Крестпен кестелеуге арнал?ан жина?;Kit f?r Kreuzstickerei;Kit de broderie au point de croix;Kit de bordado con punto de cruz;Kit per ricamo a punto croce;Набор для вышывання крыжом;Набiр для вишивання хрестом;;Кайчылаш сайма ?ч?н топтом;Xoch kashta tikish uchun to‘plam;
;Набор для вышивания полукрестом;Набор для вышивания полукрестом;Half cross stitch kit;Zestaw do haftowania p??krzy?ykiem;Жартылай крестпен кестелеуге арнал?ан жина?;Kit f?r Halbkreuzstickerei;Kit de broderie au demi-point de croix;Kit de bordado con punto de media cruz;Kit per ricamo a punto mezza croce;Набор для вышывання паўкрыжам;Набір для вишивання напівхрестом;;Жарым кайчылаш т?р?нд? сайма ?ч?н топтом;Yarim xoch usulida kashta tikish uchun to'plam;
;Набор для вышивания гобеленовым стежком;Набор для вышивания гобеленовым стежком;Tapestry kit;Zestaw do haftowania ?ciegiem Holbein;Гобелендік тігіспен кестелеуге арнал?ан жина?;Kit f?r Gobelinstich-Stickerei;Kit de broderie aux points Gobelins;Kit de bordado con punto gobelino;Kit per ricamo a punti gobelin;Набор для вышывання габеленавым шыўком;Набір для вишивання гобеленовим стібком;;Гобелен тигиш т?р?нд? сайма ?ч?н топтом;Gobelen choki bilan kashta tikish uchun to'plam;
;Набор для вышивания лентами;Набор для вышивания лентами;Ribbon embroidery kit;Zestaw do haftowania tasiemkowo;Ленталармен кестелеуге арнал?ан жина?;Kit f?r Band-Stickerei;Kit de broderie aux rubans;Kit de bordado con cintas;Kit per ricamo con i nastri;Набор для вышывання стужкамі;Набір для вишивання стрічками;;Ленталар менен сайма ?ч?н топтом;Lentalar bilan kashta tikish uchun to‘plam;
;Набор для вышивания в технике лонгстич;Набор для вышивания в технике лонгстич;Longstitch kit;Zestaw do haftowania w technice wzd?u?nego ?ciegu;Лонгстич техникасында кестелеуге арнал?ан жина?;Kit f?r Longstich-Stickerei;Kit de broderie style long stitch;"Kit de bordado en t?cnica ""longstitch""";Kit per longstitch;Набор для вышывання тэхнікай лонгстыч;Набір для вишивання в техніці лонгстіч;;Лонгстич т?р?нд? сайма ?ч?н топтом;Uzun chok bilan kashta tikish uchun to'plam;
;;Набор для вышивания бархатным швом;Velvet stitch kit;Zestaw do haftowania aksamitnym ?ciegiem;Бар?ыт тігісімен кестелеуге арнал?ан жина?;Kit f?r Fransenstich-Stickerei;Kit broderie au point de velours;Kit de bordado con costura de terciopelo;Kit per ricamo a punto velluto;Набор для вышывання аксамітным швом;Набір для вишивання оксамитовим швом;;Баркут тигиш т?р?нд? сайма ?ч?н топтом;Duxoba chok bilan kashta tikadigan to'plam;
;;;;;;;;;;;;;;;
;Набор для объемной вышивки;Набор для объемной вышивки;Stumpwork kit;Zestaw do obj?to?ciowego haftowania;К?лемді кесте тігуге арнал?ан жина?;Stumpwork Kit;Kit de broderie en volume;Kit de bordado tridimensional;Kit per ricamo di massa;Набор для аб'ёмнага вышывання;Набір для об'ємної вишивки;;К?л?мд?? сайма ?ч?н топтом;katta kashta tikish uchun to‘plam;
;Набор для ткачества;Набор для ткачества;Tapestry weaving kit;Zestaw do tkania;Tо?ымашылы??а арнал?ан жина?;Webekit ;Kit de tissage;Kit para tejer;Kit per la tessitura;Набор для ткацтва;Набір для ткацтва;;;;
;Ткацкий станок и инструменты;Ткацкий станок и инструменты;Weaving loom and tools;Krosno i narz?dzia;Tо?ыма білдегі ж?не ??ралдары;Webstuhl und Werkzeuge;M?tier ? tisser et outillage;Telar e instrumentos;Telaio e strumenti;Кросны і прылады;Ткацький верстат та інструменти;;;;
;Кристальная мозаика;Кристальная мозаика;Diamond painting;Kryszta?owa mozaika;Кристалды мозаика;Kristallmosaik;Mosa?que de cristal;Mos?ico de cristal;;Крышталёвая мазаiка;;;;;
Примечания;;;;;;;;;;;;;;;
;Готовую работу вы можете оформить как картину или подушку.;Готовую работу вы можете оформить как картину или подушку!;Frame it or make a cushion cover!;Gotowy przedmiot mo?emy teraz ozdobi? jako obrazek, b?d? poduszk?!;Дайын ж?мысты сіз сурет немесе негіз ретінде безендіре аласыз!;Sie k?nnen die fertige Handarbeit als ein Bild oder ein Kissen ausgestalten!;Vous pouvez pr?senter l’ouvrage fini comme un tableau ou un oreiller!;?Se puede presentar el art?culo acabado como un cuadro o como un coj?n!;Potete fare un quadro oppure un cuscino usando l’articolo pronto!;Гатовую працу вы можаце аформіць як карціну ці падушку!;Готову роботу ви можете оформити як картину або подушку.;;;;
;Не подлежит обязательной сертификации и декларированию соответствия.;Не подлежит обязательной сертификации и декларированию соответствия.;This product is not subject to mandatory certification and declaration of conformity;не указываем;Міндетті сертификатталуы ж?не с?йкестік туралы декларациялануы тиіс емес;не указываем;не указываем;не указываем;не указываем;Не падлягае абавязковай сертыфікацыі і дэклараванню адпаведнасці.;не указываем;;Милдетт?? сертификациялоо жана ылайыктыктын декларациялоого дуушар эмес;Majburiy sertifikatlash va muvofiqlik deklaratsiyasiga tobe emas;
;Примечание: наполнитель для игрушки не входит в комплектацию, а приобретается отдельно.;Примечание: наполнитель для игрушки не входит в комплектацию, а приобретается отдельно.;Note: no stuffing is included in the kit.;Uwaga: wype?niacz do zabawki nie wchodzi w sk?ad komletacji i nale?y go kupi? osobno.;;Note: die Packung schlie?t nicht das F?llmaterial f?r das Spielzeug ein, Sie m?ssen es selbst kaufen.;Note: le remplissage pour jouets ne fait pas partie du kit et doit ?tre achet? s?par?ment.;Nota: el relleno para el peluche no est? incluido en el kit sino se adquiere aparte.;Nota: il riempitivo per il giocattolo non entra nel kit e viene acquistato a parte.;Заўвага: напаўняльнік для цацкі не ўваходзіць у камплектацыю, а набываецца асобна.;Примітка: наповнювач для іграшки не входить до комплектації, а купується окремо.;;;;
;Примечание: наполнитель, инструменты, оборотная сторона, а также прочие элементы для оформления не входят в комплектацию, а приобретаются отдельно.;Примечание: наполнитель, инструменты, оборотная сторона, а также прочие элементы для оформления не входят в комплектацию, а приобретаются отдельно.;Note: cushion insert, tools, backing and zip are not included.;Uwaga: wypychacz, narz?dzia, odwrotna strona, a tak?e inne elementy do dekoracji nie wchodz? w sk?ad zestawu, i kupuje si? je osobno.;Ескерту: толы?тыр?ыш, ??ралдар, сырт жа?ы, сондай-а?, бас?а да безендіру элементтері жина??а кірмейді, б?лек сатып алынады.;;;;;Заўвага: напаўняльнік, прылады, адваротны бок, а таксама іншыя элементы для афармлення не ўваходзяць у камплектацыю, а набываюцца асобна.;Примітка: наповнювач, інструменти, зворотний бік, а також інші елементи для оформлення не входять до комплектації, а купуються окремо.;;;;
;Примечание: наполнитель, ножницы, булавки, мел/портновский маркер не входят в комплектацию, а приобретаются отдельно.;Примечание: наполнитель, ножницы, булавки, мел/портновский маркер не входят в комплектацию, а приобретаются отдельно.;Note: stuffing, scissors, pins, and dressmaker's marker or chalk are not included.;;Ескерту: толтыр?ыш, ?айшы, т?йреуіш, бор/тігінші маркері жина??а кірмейді, б?лек сатып алынады.;;Note: le produit de remplissage, les ciseaux, les ?pingles, un bout de craie/marqueur de tailleur ne font pas partie du kit, ils sont ? acheter s?par?ment.;;;Заўвага: напаўняльнік, нажніцы, шпількі, крэйда/кравецкі маркер не ўваходзяць у камплектацыю, а набываюцца асобна.;;;Эскерт??: толтурма, кайчы, т??н?г?чт?р, бор/тиг??ч?н?н маркери комплектт??г? кирбейт, алар ?з?нч? сатылып алынат. ;Izoh: to‘ldirgich, qaychi, bulavkalar, bo‘r/tikuvchining belgisi paketga kiritilmagan, lekin alohida sotib olinadi.;
;Примечание: ножницы для вырезания необходимо приобрести отдельно.;Примечание: ножницы для вырезания необходимо приобрести отдельно.;Note: scissors are not included.;Uwaga: no?yczki do wycinania trzeba kupi? osobno.;Ескерту: кесуге арнал?ан ?айшыны б?лек сатып алу керек.;;;;;Заўвага: нажніцы для выразання неабходна набыць асобна.;Примітка: ножиці й рама в набір не входять, а купуються окремо.;;;;
;Примечание: ножницы и рама в набор не входят, а приобретаются отдельно.;Примечание: ножницы и рама в набор не входят, а приобретаются отдельно.;Note: scissors and frame are not included in the kit.;Uwaga: no?yczki i ramka w sk?ad zestawu r?wnie? nie wchodz?i kupuje si? je osobno.;Ескерту: ?айшы ж?не жа?тау жина??а кірмейді, б?лек сатып алынады.;;;Nota: las tijeras y la carcasa no est?n incluidas en el kit, se adquieren aparte.;;Заўвага: нажніцы і рама ў набор не ўваходзяць, а набываюцца асобна.;Примітка: ножиці, шпильки, крейда/змилок не входять до комплектації, а купуються окремо.;;;;
;Примечание: ножницы, булавки,  мел/портновский маркер не входят в комплектацию, а приобретаются отдельно.;Примечание: ножницы, булавки, мел/портновский маркер не входят в комплектацию, а приобретаются отдельно.;Note: scissors, pins and dressmaker's marker are not included in the kit.;;Ескерту: ?айшы, т?йреуіш, бор/тігінші маркері жина??а кірмейді, б?лек сатып алынады.;;Note: les ciseaux, les ?pingles, un bout de craie/marqueur de tailleur ne font pas partie du kit, ils sont ? acheter s?par?ment.;;;Заўвага: нажніцы, шпількі, крэйда/кравецкі маркер не ўваходзяць у камплектацыю, а набываюцца асобна.;;;Эскерт??: кайчы, т??н?г?чт?р, бор/тиг??ч?н?н маркери комплектт??г? кирбейт, алар ?з?нч? сатылып алынат. ;Izoh: qaychi, bulavkalar, bo‘r/tikuvchining belgisi paketga kiritilmagan, lekin alohida sotib olinadi.;
;Примечание: ножницы, булавки,  мел/портновский маркер, клей, круглогубцы не входят в комплектацию, а приобретаются отдельно.;Примечание: ножницы, булавки,  мел/портновский маркер, клей, круглогубцы не входят в комплектацию, а приобретаются отдельно.;Note: scissors, pins and dressmaker's marker, glue and round nose pliers are not included in the kit.;;Ескерту: ?айшы, т?йреуіш, бор/тігінші маркері, желім, д??гелек ауызды тістеуік жина??а кірмейді, б?лек сатып алынады.;;Note: les ciseaux, les ?pingles, un bout de craie/marqueur de tailleur, colle universelle transparente, pince ronde ne font pas partie du kit, ils sont ? acheter s?par?ment.;;;Заўвага: нажніцы, шпількі, крэйда/кравецкі маркер, клей, круглагубцы не ўваходзяць у камплектацыю, а набываюцца асобна.;;;Эскерт??: кайчы, т??н?г?чт?р, бор/тиг??ч?н?н маркери, желим, тегерек ээктер комплектт??г? кирбейт, алар ?з?нч? сатылып алынат.;Izoh: qaychi, bulavkalar, bo‘r/tikuvchining belgisi, yelim, dumoloq onbur paketga kiritilmagan, lekin alohida sotib olinadi.;
;Примечание: швейные нитки и наполнитель для игрушки не входят в  комплектацию, а приобретаются отдельно.;Примечание: швейные нитки и наполнитель для игрушки не входят в  комплектацию, а приобретаются отдельно.;Note: stuffing and sewing thread are not included in the kit.;Uwaga: nitki do szycia i wype?niacz do zabawki nie wchodzi w sk?ad komletacji i nale?y go kupi? osobno.;Ескерту: тігін инелері мен ойыншы?тарды? толы?тыр?ыштары жина??а кірмейді, олар б?лек сатып алынады.;Note: die Packung schlie?t nicht das N?hgarn und das F?llmaterial f?r das Spielzeug ein, Sie m?ssen diese selbst kaufen.;Note: les fils ? coudre et le remplissage pour les jouets ne font pas partie du kit et doivent ?tre achet?s s?par?ment.;Nota: los hilos de coser y el relleno para el peluche no est?n incluidos en el kit sino se adquieren aparte.;Nota: i fili da cucire ed il riempitivo per il giocattolo non entrano nel kit e vengono acquistati a parte.;Заўвага: швейныя ніткі і напаўняльнік для цацкі не ўваходзяць у  камплектацыю, а набываюцца асобна.;Примітка: нитки швейнi i наповнювач для іграшки не входить до комплектації, а купується окремо.;;;;
